[2026-01-07 16:33:14,896 ] 17 root - INFO - Starting Data Ingestion
[2026-01-07 16:33:17,208 ] 65 root - INFO - Performed train test split on the dataframe.
[2026-01-07 16:33:17,208 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-07 16:33:17,208 ] 74 root - INFO - Exporting train and tst file path.
[2026-01-07 16:33:17,233 ] 82 root - INFO - Exported train and test file path.
[2026-01-07 16:33:17,234 ] 19 root - INFO - Data Ingestion Completed
[2026-01-07 16:33:17,236 ] 23 root - INFO - Initiate Data Validation
[2026-01-07 16:33:17,245 ] 33 root - INFO - Required number of columns: 2
[2026-01-07 16:33:17,245 ] 34 root - INFO - Dataframe has columns: 31
[2026-01-07 16:33:17,245 ] 33 root - INFO - Required number of columns: 2
[2026-01-07 16:33:17,245 ] 34 root - INFO - Dataframe has columns: 31
[2026-01-07 16:33:17,315 ] 25 root - INFO - Data Validation Completed
[2026-01-07 16:33:17,315 ] 28 root - INFO - Initiate Data Transformation
[2026-01-07 16:33:17,315 ] 55 root - INFO - Entered the initiate_data_transformation method of Data Transformation class
[2026-01-07 16:33:17,315 ] 57 root - INFO - Starting Data Transformation
[2026-01-07 16:33:17,324 ] 44 root - INFO - Entered the get_data_transformer_object method of Data Transformation class
[2026-01-07 16:33:17,324 ] 47 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-07 16:33:17,328 ] 49 root - INFO - Entered the save_object method of Main Utils
[2026-01-07 16:33:17,328 ] 53 root - INFO - Exited the save_object method of Main Utils
[2026-01-07 16:33:17,329 ] 32 root - INFO - Data Transformation Completed
[2026-01-07 16:33:17,329 ] 34 root - INFO - Model Training Started
