[2026-01-07 19:34:25,320 ] 17 root - INFO - Starting Data Ingestion
[2026-01-07 19:34:29,833 ] 65 root - INFO - Performed train test split on the dataframe.
[2026-01-07 19:34:29,833 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-07 19:34:29,833 ] 74 root - INFO - Exporting train and tst file path.
[2026-01-07 19:34:29,859 ] 82 root - INFO - Exported train and test file path.
[2026-01-07 19:34:29,859 ] 19 root - INFO - Data Ingestion Completed
[2026-01-07 19:34:29,862 ] 23 root - INFO - Initiate Data Validation
[2026-01-07 19:34:29,872 ] 33 root - INFO - Required number of columns: 2
[2026-01-07 19:34:29,872 ] 34 root - INFO - Dataframe has columns: 31
[2026-01-07 19:34:29,872 ] 33 root - INFO - Required number of columns: 2
[2026-01-07 19:34:29,872 ] 34 root - INFO - Dataframe has columns: 31
[2026-01-07 19:34:29,962 ] 25 root - INFO - Data Validation Completed
[2026-01-07 19:34:29,962 ] 28 root - INFO - Initiate Data Transformation
[2026-01-07 19:34:29,962 ] 55 root - INFO - Entered the initiate_data_transformation method of Data Transformation class
[2026-01-07 19:34:29,962 ] 57 root - INFO - Starting Data Transformation
[2026-01-07 19:34:29,971 ] 44 root - INFO - Entered the get_data_transformer_object method of Data Transformation class
[2026-01-07 19:34:29,971 ] 47 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-07 19:34:29,976 ] 49 root - INFO - Entered the save_object method of Main Utils
[2026-01-07 19:34:29,977 ] 53 root - INFO - Exited the save_object method of Main Utils
[2026-01-07 19:34:29,978 ] 32 root - INFO - Data Transformation Completed
[2026-01-07 19:34:29,978 ] 34 root - INFO - Model Training Started
[2026-01-07 19:36:22,760 ] 49 root - INFO - Entered the save_object method of Main Utils
[2026-01-07 19:36:22,774 ] 53 root - INFO - Exited the save_object method of Main Utils
[2026-01-07 19:36:22,774 ] 49 root - INFO - Entered the save_object method of Main Utils
[2026-01-07 19:36:22,787 ] 53 root - INFO - Exited the save_object method of Main Utils
[2026-01-07 19:36:22,788 ] 123 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/01_07_2026_19_34_25/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909297052154195, precision_score=0.9897055795758699, recall_score=0.9921568627450981), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9786096256684492, precision_score=0.9808575803981623, recall_score=0.9763719512195121))
[2026-01-07 19:36:22,788 ] 38 root - INFO - Model Training Completed
